id,happiness
8001,3.8481675392670156
8002,2.9424083769633507
8003,3.324607329842932
8004,4.293193717277487
8005,3.3769633507853403
8006,4.130890052356021
8007,3.858638743455497
8008,4.345549738219895
8009,3.8743455497382198
8010,3.1518324607329844
8011,3.1256544502617802
8012,3.884816753926702
8013,4.005235602094241
8014,3.56020942408377
8015,3.6596858638743455
8016,4.225130890052356
8017,3.712041884816754
8018,4.303664921465969
8019,3.9895287958115184
8020,3.8952879581151834
8021,4.162303664921466
8022,3.7068062827225132
8023,4.010471204188482
8024,3.654450261780105
8025,3.3141361256544504
8026,4.12565445026178
8027,4.104712041884817
8028,3.9476439790575917
8029,4.209424083769633
8030,4.209424083769633
8031,3.8481675392670156
8032,3.9895287958115184
8033,4.052356020942408
8034,3.6596858638743455
8035,3.4764397905759163
8036,4.4188481675392675
8037,3.973821989528796
8038,4.015706806282722
8039,3.81151832460733
8040,4.146596858638744
8041,4.267015706806283
8042,4.005235602094241
8043,3.869109947643979
8044,3.994764397905759
8045,4.298429319371728
8046,3.9895287958115184
8047,4.162303664921466
8048,4.052356020942408
8049,3.9162303664921465
8050,4.167539267015707
8051,3.842931937172775
8052,4.151832460732984
8053,3.157068062827225
8054,4.0732984293193715
8055,4.18848167539267
8056,2.858638743455497
8057,3.8481675392670156
8058,3.5654450261780104
8059,3.345549738219895
8060,4.0732984293193715
8061,3.4031413612565444
8062,3.607329842931937
8063,3.764397905759162
8064,4.026178010471204
8065,4.031413612565445
8066,4.141361256544503
8067,4.151832460732984
8068,4.005235602094241
8069,3.518324607329843
8070,3.9424083769633507
8071,3.7853403141361257
8072,4.225130890052356
8073,3.6858638743455496
8074,3.8795811518324608
8075,3.413612565445026
8076,3.675392670157068
8077,3.3664921465968587
8078,3.973821989528796
8079,4.403141361256544
8080,3.816753926701571
8081,3.994764397905759
8082,3.926701570680628
8083,4.287958115183246
8084,4.167539267015707
8085,4.397905759162303
8086,3.968586387434555
8087,3.832460732984293
8088,4.099476439790576
8089,3.7068062827225132
8090,3.900523560209424
8091,4.005235602094241
8092,3.717277486910995
8093,4.0837696335078535
8094,4.109947643979058
8095,4.397905759162303
8096,3.6282722513089007
8097,4.303664921465969
8098,3.8952879581151834
8099,3.5706806282722514
8100,4.057591623036649
8101,4.157068062827225
8102,3.8952879581151834
8103,3.445026178010471
8104,4.2460732984293195
8105,4.0785340314136125
8106,3.979057591623037
8107,4.12565445026178
8108,3.979057591623037
8109,3.5706806282722514
8110,3.743455497382199
8111,4.219895287958115
8112,3.7591623036649215
8113,3.8481675392670156
8114,4.0942408376963355
8115,3.8743455497382198
8116,3.816753926701571
8117,3.9162303664921465
